title,artist,price,product_url,image_url
Simon Henriksson Cry of Fear ver. 2 Zipped Hoodie,randomspider,£30.19,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Simon-Henriksson-Cry-of-Fear-ver-2-by-randomspider/149684608.SF8Q5,"https://ih1.redbubble.net/image.5669545103.4608/ssrco,mhoodiez,mens,heather_mid_grey,back,square_product,600x600-bg,f8f8f8.u8.jpg"
One lonely beastie I be. - Rap Lyrics Lightweight Hoodie,mymymagic,£26.93,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/One-lonely-beastie-I-be-Rap-Lyrics-by-mymymagic/120818732.GQV8B,"https://ih1.redbubble.net/image.4010015240.8732/ssrco,lightweight_hoodie,mens,heather_mid_grey,front,square_product,x600-bg,f8f8f8.2.jpg"
Simon Henriksson Cry of Fear Pullover Hoodie,randomspider,£28.04,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Simon-Henriksson-Cry-of-Fear-by-randomspider/148704609.Z0141,"https://ih1.redbubble.net/image.5669552147.4609/ssrco,mhoodie,mens,heather_light_grey,back,square_product,x600-bg,f8f8f8.1u10.jpg"
Laserluca - Smiley Pullover Hoodie,boboaroteed,£34.72,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Laserluca-Smiley-by-boboaroteed/106603214.YFBT8,"https://ih1.redbubble.net/image.3426458964.3214/ssrco,mhoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1u1.jpg"
One lonely beastie I be. - Rap Lyrics 2 Lightweight Sweatshirt,Mosaic-Art,£25.98,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/One-lonely-beastie-I-be-Rap-Lyrics-2-by-Mosaic-Art/166907814.NUC7A.XYZ,"https://ih1.redbubble.net/image.5761988770.7814/ssrco,lightweight_sweatshirt,womens,heather_dark_grey,front,square_product,x600-bg,f8f8f8.1u1.jpg"
Black Cat Holding On Zipped Hoodie,Jenn Inashvili,£32.92,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Black-Cat-Holding-On-by-ShortCoffee/21794430.R76QN,"https://ih1.redbubble.net/image.215047620.4430/ssrco,mhoodiez,mens,heather_oatmeal,front,square_product,600x600-bg,f8f8f8.u1.jpg"
Stone Roses Ian Brown Madchester Adored Manchester Sports Design Classic T-Shirt.png Pullover Hoodie,Chriselson,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Stone-Roses-Ian-Brown-Madchester-Adored-Manchester-Sports-Design-Classic-T-Shirt-png-by-Chriselson/97217868.YFBT8,"https://ih1.redbubble.net/image.3067551897.7868/ssrco,mhoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
Vintage Murder She Wrote - I Killed Them I Killed Them Lightweight Hoodie,hoangloan257,£28.04,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Vintage-Murder-She-Wrote-I-Killed-Them-I-Killed-Them-by-hoangloan257/61159376.O6XP1,"https://ih1.redbubble.net/image.1801477033.9376/ssrco,lightweight_hoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.2.jpg"
Stay Positive Pullover Sweatshirt,Steven Rhodes,£29.85,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Stay-Positive-by-stevenrhodes/79299073.WY6W4,"https://ih1.redbubble.net/image.2404102447.9073/ra,sweatshirt,x1800,2649ab:cd93e31dd7,front-c,281,327,600,600-bg,f8f8f8.jpg"
Music rock>>>>>>>>>>>>>>>deftones>>>>>>>>>deftones>>>>>>>>>deftones>>>>>>>>>deftones>>>>>>>>>deftones>>>>> Pullover Hoodie,BlackWhite-SHOP,£38.57,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Music-rock-deftones-deftones-deftones-deftones-deftones-by-BlackWhite-SHOP/161057591.YFBT8.XYZ,"https://ih1.redbubble.net/image.5581877190.7591/ssrco,mhoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
Milk outside a bag of milk Lightweight Sweatshirt,Rogue5-,£24.93,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Milk-outside-a-bag-of-milk-by-Rogue5/108623410.0LCRC,"https://ih1.redbubble.net/image.5717743257.3410/ssrco,lightweight_sweatshirt,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.u1.jpg"
Japanese Fox 5 Lightweight Hoodie,TheSamuraiCat,£27.16,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Japanese-Fox-5-by-TheSamuraiCat/134128594.O6XP1,"https://ih1.redbubble.net/image.4575103656.8594/ssrco,lightweight_hoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.2u2.jpg"
Oasis Sunshiyiiine Logo Lightweight Hoodie,indiedesignsdmd,£26.93,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Oasis-Sunshiyiiine-Logo-by-indiedesignsdmd/46476024.GQV8B.XYZ,"https://ih1.redbubble.net/image.1133883780.6024/ssrco,lightweight_hoodie,womens,heather_mid_grey,front,square_product,x600-bg,f8f8f8.1.jpg"
SCREAM MASK Pullover Sweatshirt,kevincharles,£26.40,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/SCREAM-MASK-by-kevincharles/25972005.LEP2X,"https://ih1.redbubble.net/image.5646239851.2005/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.u2.jpg"
Tour Machine Head Heavy Metal Logo Music Band Pullover Hoodie,DaHooper,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Tour-Machine-Head-Heavy-Metal-Logo-Music-Band-by-DaHooper/159485801.YFBT8.XYZ,"https://ih1.redbubble.net/image.5482276292.5801/ssrco,mhoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
Not Today Pullover Hoodie,FoxShiver,£33.44,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Not-Today-by-FoxShiver/85381169.YFBT8.XYZ,"https://ih1.redbubble.net/image.2962651341.1169/ssrco,mhoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
Avnier white Orelsan Pullover Sweatshirt,VoidZero,£39.03,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Avnier-white-Orelsan-by-VoidZero/96590646.TJNFS,"https://ih1.redbubble.net/image.4501970626.0646/ra,sweatshirt,x1800,101010:01c5ca27c6,back-c,281,327,600,600-bg,f8f8f8.u1.jpg"
I Am Dedsec Lightweight Hoodie,timka3,£26.93,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/I-Am-Dedsec-by-timka3/39626153.O6XP1.XYZ,"https://ih1.redbubble.net/image.849132419.6153/ssrco,lightweight_hoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1u17.jpg"
Kendrick Lamar - DAMN. Pullover Hoodie,Puppy-,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Kendrick-Lamar-DAMN-by-Puppy/26050282.VR8OC,"https://ih1.redbubble.net/image.356096641.0282/ssrco,mhoodie,mens,fafafa:ca443f4786,front,square_product,x600-bg,f8f8f8.1.jpg"
1995 RARE Silverchair Frogstomp '95 Frog Double Lightweight Hoodie,MarvinLReese,£26.93,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/1995-RARE-Silverchair-Frogstomp-95-Frog-Double-by-MarvinLReese/150936624.GQV8B,"https://ih1.redbubble.net/image.5268272362.6624/ssrco,lightweight_hoodie,mens,heather_mid_grey,front,square_product,x600-bg,f8f8f8.2.jpg"
Stearman Bi-Plane Iconic Vintage Pullover Sweatshirt,RampRatGear,£28.70,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Stearman-Bi-Plane-Iconic-Vintage-by-RampRatGear/63579403.LEP2X,"https://ih1.redbubble.net/image.1883187756.9403/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.u3.jpg"
The college dropout Lightweight Hoodie,Urmyo,£29.17,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/The-college-dropout-by-Urmyo/148759159.O6XP1.XYZ,"https://ih1.redbubble.net/image.5111450488.9159/ssrco,lightweight_hoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
Athletics West Classic Eugene Pullover Hoodie,Athletics West,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Athletics-West-Classic-Eugene-by-ScaryTown/49592972.ILER6,"https://ih1.redbubble.net/image.1275754308.2972/ssrco,mhoodie,mens,d60618:63655aa038,front,square_product,x600-bg,f8f8f8.1u1.jpg"
GRISELDA Pullover Hoodie,RomeoFlaco,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/GRISELDA-by-RomeoFlaco/42926352.YFBT8,"https://ih1.redbubble.net/image.987154747.6352/ssrco,mhoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
EDDA Zipped Hoodie,RAIDHO,£35.67,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/EDDA-by-RAIDHO/16246104.BN4XF,"https://ih1.redbubble.net/image.95608680.6104/ssrco,mhoodiez,mens,101010:01c5ca27c6,front,square_product,600x600-bg,f8f8f8.jpg"
The Pitt Dr. Robby Jacket Zipped Hoodie,MuellersMelange,£32.92,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/The-Pitt-Dr-Robby-Jacket-by-MuellersMelange/169902974.AJ57R,"https://ih1.redbubble.net/image.5809944350.2974/ssrco,mhoodiez,mens,081a2e:18137d705a,front,square_product,600x600-bg,f8f8f8.jpg"
Griselda Records T-Shirtgriselda records Pullover Sweatshirt,MarcusLyara,£29.85,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Griselda-Records-T-Shirtgriselda-records-by-MarcusLyara/67920434.LEP2X,"https://ih1.redbubble.net/image.2026491591.0434/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.jpg"
Depeche Mode - Official Pullover Hoodie,LillianRParker,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Depeche-Mode-Official-by-LillianRParker/152440757.YFBT8,"https://ih1.redbubble.net/image.5247167132.0757/ssrco,mhoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
DAMN. Pullover Hoodie,WeThePeeple,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/DAMN-by-WeThePeeple/26194669.YFBT8,"https://ih1.redbubble.net/image.361954540.4669/ssrco,mhoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
Thanos Legend - Choi Seung-hyun Vintage Pullover Sweatshirt,quotes-print,£27.39,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Thanos-Legend-Choi-Seung-hyun-Vintage-by-quotes-print/167983458.7PZBN,"https://ih1.redbubble.net/image.5750329555.3458/ra,sweatshirt,x1800,fcfcfa:e7fde99dd4,front-c,281,327,600,600-bg,f8f8f8.jpg"
the boldy Pullover Sweatshirt,kharma zero,£29.85,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/the-boldy-by-fredlevy-hadida/41320919.LEP2X,"https://ih1.redbubble.net/image.2600935083.0919/ra,sweatshirt,x1800,101010:01c5ca27c6,front-c,281,327,600,600-bg,f8f8f8.u1.jpg"
Omori Merch Something Shirt Lightweight Hoodie,betholivekn,£26.93,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/Omori-Merch-Something-Shirt-by-betholivekn/101510464.O6XP1,"https://ih1.redbubble.net/image.3229707825.0464/ssrco,lightweight_hoodie,mens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.2.jpg"
Are We There Yet? Lightweight Sweatshirt,Steven Rhodes,£27.01,https://www.redbubble.comhttps://www.redbubble.com/i/sweatshirt/Are-We-There-Yet-by-stevenrhodes/116031239.9HM5V,"https://ih1.redbubble.net/image.3811659724.1239/ssrco,lightweight_sweatshirt,mens,0e1521:7e32d1c5b7,front,square_product,x600-bg,f8f8f8.jpg"
GRISELDA small Pullover Hoodie,RomeoFlaco,£30.87,https://www.redbubble.comhttps://www.redbubble.com/i/hoodie/GRISELDA-small-by-RomeoFlaco/42958712.YFBT8.XYZ,"https://ih1.redbubble.net/image.988492597.8712/ssrco,mhoodie,womens,101010:01c5ca27c6,front,square_product,x600-bg,f8f8f8.1.jpg"
